userId,movieId,label,genre_Sci-Fi,genre_Western,genre_Musical,genre_Film-Noir,genre_Documentary,genre_Action,genre_Comedy,genre_Drama,genre_Crime,genre_Children,genre_Romance,genre_Thriller,genre_IMAX,genre_Mystery,genre_Fantasy,genre_Animation,genre_War,genre_Adventure,genre_Horror
509,7347,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
326,71462,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2115,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
610,1127,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
462,2409,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
600,2084,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89,121342,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
343,2329,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
414,36517,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
156,3072,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
305,1625,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
448,440,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
57,594,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
20,6157,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
313,541,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
600,5064,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
304,1210,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
469,1104,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,2707,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,2331,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
372,1015,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
603,3521,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
339,1625,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
438,3408,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
366,589,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,95,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
523,26776,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
380,1653,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
489,2379,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
111,71057,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
318,3412,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
333,3755,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
217,1014,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
514,2028,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
275,440,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
84,318,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
424,6870,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
408,8528,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
552,2598,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,110,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
380,68791,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
76,2858,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19,798,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
305,1258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
469,2391,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
590,2376,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
467,2125,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
68,3147,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
217,564,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
525,99149,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
199,380,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0
475,2617,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
122,80463,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
564,3948,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
480,48783,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
66,7438,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
307,1093,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
425,5679,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
268,1968,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
608,6323,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
603,1639,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
469,3160,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
599,68319,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
474,3548,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
219,1240,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
222,6863,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182,3503,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
